Date,Price,Open,High,Low,Vol.,Change %
05/20/2024,"13,620","13,500","13,660","13,430",218.61K,1.57%
05/21/2024,"13,300","13,650","13,650","13,180",357.58K,-2.35%
05/22/2024,"13,720","13,490","13,780","13,450",237.45K,3.16%
05/23/2024,"13,710","13,920","14,030","13,640",247.38K,-0.07%
05/26/2024,"13,530","13,880","13,950","13,130",129.88K,-1.31%
05/27/2024,"13,790","13,600","13,820","13,550",66.59K,1.92%
05/28/2024,"13,990","13,810","13,990","13,760",100.11K,1.45%
05/29/2024,"13,980","13,990","13,990","13,750",80.81K,-0.07%
05/30/2024,"13,830","13,670","13,900","13,640",377.12K,-1.07%
06/02/2024,"13,870","14,030","14,030","13,870",71.87K,0.29%
06/03/2024,"13,930","13,930","13,980","13,770",214.52K,0.43%
06/04/2024,"13,560","13,770","13,790","13,500",158.94K,-2.66%
06/05/2024,"13,720","13,560","13,720","13,490",149.38K,1.18%
06/06/2024,"14,050","13,790","14,090","13,790",254.05K,2.41%
06/09/2024,"14,120","14,100","14,120","14,010",125.00K,0.50%
06/10/2024,"14,250","14,050","14,250","14,030",187.06K,0.92%
06/13/2024,"14,320","14,450","14,450","14,240",222.48K,0.49%
06/16/2024,"14,210","14,390","14,430","14,210",64.99K,-0.77%
06/17/2024,"14,260","14,210","14,360","14,210",176.89K,0.35%
06/18/2024,"14,710","14,490","14,710","14,450",143.90K,3.16%
06/19/2024,"14,530","14,760","14,800","14,440",88.33K,-1.22%
06/20/2024,"14,370","14,620","14,680","14,330",568.82K,-1.10%
06/23/2024,"14,490","14,710","14,710","14,490",88.44K,0.84%
06/24/2024,"14,380","14,540","14,580","14,300",239.62K,-0.76%
06/25/2024,"14,170","14,200","14,280","14,080",200.83K,-1.46%
06/26/2024,"14,480","14,340","14,510","14,300",167.22K,2.19%
06/27/2024,"14,520","14,450","14,650","14,370",508.51K,0.28%
06/30/2024,"14,820","14,930","14,960","14,820",166.29K,2.07%
07/01/2024,"14,920","14,920","14,920","14,600",155.16K,0.67%
07/02/2024,"14,990","14,780","15,020","14,770",154.31K,0.47%
07/03/2024,"14,810","14,900","14,930","14,720",180.01K,-1.20%
07/04/2024,"14,650","14,800","14,840","14,640",174.09K,-1.08%
07/07/2024,"15,040","14,950","15,100","14,700",133.90K,2.66%
07/08/2024,"15,140","14,940","15,160","14,800",169.23K,0.66%
07/09/2024,"15,130","15,140","15,280","15,030",203.39K,-0.07%
07/10/2024,"14,960","14,950","15,020","14,820",88.52K,-1.12%
