"Date","Price","Open","High","Low","Vol.","Change %"
"12/09/2024","67.68","66.52","68.66","66.30","4.96M","1.74%"
"12/06/2024","66.52","66.28","67.04","65.92","5.41M","1.19%"
"12/05/2024","65.74","65.88","66.86","65.14","8.53M","-0.35%"
"12/04/2024","65.97","70.51","70.51","65.35","13.17M","-5.50%"
"12/03/2024","69.81","72.42","73.19","69.69","8.88M","-5.60%"
"12/02/2024","73.95","71.00","74.52","70.75","6.46M","3.98%"
"11/29/2024","71.12","71.00","72.53","70.60","2.90M","1.09%"
"11/27/2024","70.35","70.31","71.33","69.14","3.72M","-0.66%"
"11/26/2024","70.82","73.35","73.43","69.97","5.14M","-2.17%"
"11/25/2024","72.39","71.16","73.49","70.31","6.58M","3.98%"
"11/22/2024","69.62","68.02","69.71","67.51","4.09M","1.68%"
"11/21/2024","68.47","67.90","69.12","66.45","4.72M","1.72%"
"11/20/2024","67.31","65.57","67.36","65.46","5.10M","0.99%"
"11/19/2024","66.65","66.46","67.22","66.00","5.75M","0.26%"
"11/18/2024","66.48","64.48","66.58","64.32","6.37M","2.66%"
"11/15/2024","64.76","66.31","66.83","64.59","6.23M","-3.37%"
"11/14/2024","67.02","68.64","69.18","66.80","6.42M","-2.15%"
"11/13/2024","68.49","69.00","69.81","67.83","5.68M","-2.48%"
"11/12/2024","70.23","69.90","71.30","68.99","4.85M","0.39%"
"11/11/2024","69.96","71.00","71.01","68.79","6.63M","-0.64%"
"11/08/2024","70.41","71.00","71.42","69.64","4.74M","-2.28%"
"11/07/2024","72.05","73.15","73.46","71.94","5.03M","-0.30%"
"11/06/2024","72.27","72.50","73.30","71.36","7.77M","2.95%"
"11/05/2024","70.20","69.34","70.61","68.48","5.02M","1.01%"
"11/04/2024","69.50","70.25","71.36","69.37","4.01M","-2.10%"
"11/01/2024","70.99","70.50","72.50","70.16","5.55M","0.71%"
"10/31/2024","70.49","73.36","73.44","69.28","9.98M","-4.26%"
"10/30/2024","73.63","73.65","76.06","72.82","8.09M","-1.43%"
"10/29/2024","74.70","72.24","75.20","70.62","8.22M","3.41%"
"10/28/2024","72.24","67.29","75.20","66.62","16.69M","1.39%"
"10/25/2024","71.25","70.60","72.98","70.57","10.77M","1.67%"
"10/24/2024","70.08","69.53","70.14","68.36","7.57M","3.10%"
"10/23/2024","67.97","69.36","69.68","66.47","9.26M","2.15%"
"10/22/2024","66.54","66.67","67.06","65.68","6.92M","-0.89%"
"10/21/2024","67.14","68.10","68.35","65.77","6.74M","-1.97%"
"10/18/2024","68.49","70.46","70.57","68.29","5.20M","-1.08%"
"10/17/2024","69.24","70.79","71.30","68.80","6.29M","0.30%"
"10/16/2024","69.03","70.66","71.21","68.91","7.30M","-0.42%"
